id,floors,stat_area
702552288,16,123
702552351,4,113
702552359,4,113
702552363,4,113
702552373,4,113
702552406,4,112
702552410,16,123
702552416,16,123
702552447,4,123
702552455,4,123
702552463,4,123
702552477,3,123
702552481,3,123
702552489,3,123
702552499,3,123
702552507,3,123
702552715,4,112
702552725,4,112
702552730,4,112
702552744,4,112
702552750,4,112
702552813,3,123
702552821,4,123
702552828,4,223
702552830,4,123
702552850,4,223
702552861,4,223
702552863,4,223
702552873,3,223
702552880,5,224
702552885,5,224
702553226,9,225
702553245,5,225
702553253,5,225
702553262,2,225
702553271,2,225
702553275,4,223
702553285,2,225
702553301,2,225
702553472,6,214
702553476,6,214
702553610,2,225
702553626,3,221
702553635,3,221
702553645,3,221
702553649,3,225
702553654,4,221
702553656,9,225
702553659,4,221
702553668,9,225
702553670,4,221
702553690,4,221
702553691,4,225
702553700,3,211
702553701,4,221
702553702,4,225
702553862,3,214
702553876,3,214
702553885,4,214
702553896,3,214
702553905,3,214
702553909,3,211
702553911,5,225
702553913,4,221
702553915,3,211
702553921,5,225
702553922,4,221
702553925,4,221
702553926,8,225
702553939,8,225
702553940,3,221
702553948,3,211
702553952,4,221
702553957,3,211
702553959,3,211
702553966,4,221
702553969,3,211
702553970,3,221
702553974,3,211
702553978,3,221
702553982,3,211
702553986,3,221
702553989,3,211
702553993,3,221
702553996,3,211
702553997,3,221
702554000,3,211
702554002,3,221
702554007,3,211
702554214,3,214
702554227,2,113
702554241,2,113
702554248,2,113
702554259,3,111
702554266,3,111
702554270,4,214
702554271,3,111
702554274,3,214
702554281,3,111
702554282,3,214
702554288,4,214
702554289,3,111
702554294,4,111
702554296,3,214
702554302,4,111
702554303,3,214
702554307,4,214
702554310,3,221
702554317,3,221
702554322,3,211
702554325,3,221
702554328,3,211
702554334,3,211
702554336,4,221
702554338,3,211
702554345,3,211
702554354,3,211
702554360,4,221
702554369,4,221
702554370,3,211
702554395,4,225
702554400,4,225
702554405,4,221
702554511,4,111
702554517,4,111
702554519,4,214
702554525,4,111
702554533,4,111
702554541,3,111
702554551,3,111
702554560,3,111
702554563,3,222
702554564,3,111
702554574,3,222
702554578,3,111
702554581,3,222
702554587,3,111
702554589,3,222
702554593,3,111
702554594,3,222
702554602,3,111
702554607,3,222
702554612,3,225
702554616,4,221
702554621,3,225
702554622,4,221
702554627,3,225
702554632,4,221
702554645,4,112
702554671,5,225
702554678,5,225
702554687,4,113
702554689,5,225
702554692,4,221
702554697,4,221
702554913,3,222
