building_number,address_new,lat,lng,DWellTypeC,flr_area,HOUSE_ID2,DWellKomot,status,YISHUV_STA,STAT_2022,
702552276,חרצית 32,31.9058681,35.0109337,מגורים,12027.25,D4041,16,NA,12000123,123,
702552288,חרצית 32,31.9058681,35.0109337,מגורים,12027.25,D4041,16,valid,12000123,123,
702552305,חרצית 34,31.9083442,35.0105213,מגורים,12027.25,D4041,16,valid,12000123,123,
702552351,נהר הירדן 70,31.8946531,35.0117472,מגורים,1103.75,D4116,4,valid,12000113,113,
702552359,נהר הירדן 72,31.8962329,35.0097805,מגורים,949.75,D4121,4,valid,12000113,113,
702552363,נהר הירדן 74,31.8968326,35.0077922,מגורים,841.5,D4143,4,valid,12000113,113,
702552373,נהר הירדן 76,31.8964272,35.0068016,מגורים,913.5,D4161,4,valid,12000113,113,
702552406,נהר הירדן 11,31.894767,35.0112776,מגורים,1032.25,D4763,4,valid,12000112,112,
702552410,חרצית 28,31.9083416,35.0108958,מגורים,2721.5,D4053,16,valid,12000123,123,
702552416,חרצית 30,31.903833,35.01261,מגורים,2721.5,D4053,16,valid,12000123,123,
702552429,גינת דותן 66,31.8982822,35.0131879,מסחר,1182.75,D10183,2,over_avg,12000115,115,
702552447,סתוונית 7,31.9044075,35.0133954,מגורים,1230,D4749,4,valid,12000123,123,
702552455,סתוונית 5,31.9047015,35.0135591,מגורים,1157.25,D4750,4,valid,12000123,123,
702552463,סתוונית 3,31.9049636,35.0136972,מגורים,1223.25,D4751,4,valid,12000123,123,
702552477,נץ החלב 12,31.9043114,35.0116327,מגורים,2277,D4593,3,valid,12000123,123,
702552481,נץ החלב 10,31.9045348,35.0129145,מגורים,1395.75,D4610,3,valid,12000123,123,
702552489,נץ החלב 8,31.9046973,35.0118377,מגורים,1273.25,D4611,3,valid,12000123,123,
702552499,נץ החלב 6,31.9046268,35.0124269,מגורים,1330,D4614,3,valid,12000123,123,
702552507,נץ החלב 4,31.9046914,35.0127103,מגורים,1368.75,D4616,3,valid,12000123,123,
702552715,נהר הירדן 9,31.8947032,35.0114496,מגורים,1011.25,D4764,4,valid,12000112,112,
702552725,נהר הירדן 7,31.8946531,35.0117472,מגורים,930.25,D4765,4,valid,12000112,112,
702552730,נהר הירדן 5,31.8946756,35.0120381,מגורים,770.25,D4766,4,valid,12000112,112,
702552744,נהר הירדן 15,31.8967247,35.0076018,מגורים,914.25,D4761,4,valid,12000112,112,
702552750,נהר הירדן 13,31.8965443,35.0093559,מגורים,944.75,D4762,4,valid,12000112,112,
702552813,נץ החלב 2,31.904862,35.0132144,מגורים,1393.25,D4618,3,valid,12000123,123,
702552821,נץ החלב 5,31.9044691,35.0119758,מגורים,1676.5,D4753,4,valid,12000123,123,
702552828,אדם 16,31.890267,35.010397,מגורים,853.75,D3187,4,valid,12000223,223,
702552830,נץ החלב 3,31.9044816,35.0123921,מגורים,1626.75,D4752,4,valid,12000123,123,
702552850,אדם 11,31.890267,35.010397,מגורים,1030,D3186,4,valid,12000223,223,
702552861,אדם 9,31.890267,35.010397,מגורים,1167.25,D3185,4,valid,12000223,223,
702552863,אדם 7,31.890267,35.010397,מגורים,1271.75,D3184,4,valid,12000223,223,
702552873,אדם 5,31.890267,35.010397,מגורים,1106.25,D3338,3,valid,12000223,223,
702552880,אדם 20,31.890267,35.010397,מגורים,1712,D3480,5,valid,12000224,224,
702552885,אדם 22,31.890267,35.010397,מגורים,1595.5,D3479,5,valid,12000224,224,
702553216,אדם 25,31.890267,35.010397,מגורים,1866.75,D3475,5,valid,12000224,224,
702553222,אדם 23,31.890267,35.010397,מגורים,1676.5,D3474,5,valid,12000224,224,
702553226,תכלת 37,31.9021588,34.99427,מגורים,1545,D3446,9,valid,12000225,225,
702553237,אדם 23,31.890267,35.010397,מגורים,1676.5,D3474,5,valid,12000224,224,
702553245,תכלת 89,31.9032605,34.9933325,מגורים,3268,D3237,5,valid,12000225,225,
702553250,אדם 21,31.890267,35.010397,מגורים,1545,D3471,5,NA,12000224,224,
702553253,תכלת 87,31.9032605,34.9933325,מגורים,3268,D3237,5,valid,12000225,225,
702553254,ראל מרדכי מוטה גור 3,31.890267,35.010397,מגורים,556.75,D2032,4,NA,12000221,221,
702553259,אדם 21,31.890267,35.010397,מגורים,1545,D3471,5,NA,12000224,224,
702553262,תכלת 61,31.9007444,34.9987267,מגורים,544.25,D6081,2,valid,12000225,225,
702553271,תכלת 59,31.9032209,34.9929285,מגורים,558.25,D6025,2,valid,12000225,225,
702553275,אדם 8,31.890267,35.010397,מגורים,1425.5,D3191,4,valid,12000223,223,
702553279,ראל מרדכי מוטה גור 12,31.890267,35.010397,חינוך,10673.75,D10109,3,NA,12000222,222,
702553285,תכלת 57,31.9020781,34.9939905,מגורים,529.25,D6082,2,valid,12000225,225,
702553301,תכלת 55,31.9008795,34.9964504,מגורים,563,D6017,2,valid,12000225,225,
702553304,אדם 29,31.890267,35.010397,מגורים,1400,D3463,5,NA,12000224,224,
702553472,יונה הנביא 6,31.9108493,35.010633,מגורים,2114.5,D2533,6,valid,12000214,214,
702553476,יונה הנביא 2,31.9103381,35.012397,מגורים,2307.25,D2542,6,valid,12000214,214,
702553610,תכלת 53,31.9003379,34.9985523,מגורים,567,D6043,2,valid,12000225,225,
702553616,תכלת 51,31.901009,34.999884,מגורים,580.25,D6075,2,NA,12000225,225,
702553619,אדם 31,31.890267,35.010397,מגורים,1372.25,D3468,5,valid,12000224,224,
702553626,חטיבת יפתח 4,31.9114313,35.0001485,מגורים,1007,D2288,3,valid,12000221,221,
702553632,אדם 33,31.890267,35.010397,מגורים,1945.5,D3466,5,NA,12000224,224,
702553635,חטיבת יפתח 6,31.9115912,35.0003679,מגורים,932,D2282,3,valid,12000221,221,
702553645,חטיבת יפתח 1,31.9113873,35.0000957,מגורים,1579,D2525,3,valid,12000221,221,
702553649,תכלת 2,31.9023491,34.9995989,מגורים,1092,D3493,3,valid,12000225,225,
702553654,חטיבת גבעתי 38,31.9130161,34.9996067,מגורים,645,D2030,4,valid,12000221,221,
702553656,תכלת 4,31.9022208,34.9996352,מגורים,2450,D3495,9,valid,12000225,225,
702553659,חטיבת גבעתי 40,31.9098188,35.0033977,מגורים,690.5,D2031,4,valid,12000221,221,
702553668,תכלת 6,31.902349,34.9995989,מגורים,2450,D3495,9,valid,12000225,225,
702553670,חטיבת גבעתי 15,31.9130161,34.9996067,מגורים,949.75,D2270,4,valid,12000221,221,
702553690,חטיבת גבעתי 13,31.9130161,34.9996067,מגורים,1128,D2271,4,valid,12000221,221,
702553691,תכלת 83,31.90207,34.995906,מגורים,1541.5,D3486,4,valid,12000225,225,
702553700,חשון 2,31.9125324,35.0144585,מגורים,1088.5,D1254,3,valid,12000211,211,
702553701,חטיבת גבעתי 36,31.9130161,34.9996067,מגורים,1284.5,D2308,4,valid,12000221,221,
702553702,תכלת 81,31.9004302,34.9981225,מגורים,1575.75,D3485,4,valid,12000225,225,
702553862,אלישע הנביא 17,31.910638,35.0093823,מגורים,1086,D2505,3,valid,12000214,214,
702553876,אלישע הנביא 9,31.910519,35.0073559,מגורים,1101.5,D2510,3,valid,12000214,214,
702553885,אלישע הנביא 5,31.9102796,35.0066697,מגורים,1125,D2518,4,valid,12000214,214,
702553896,אלישע הנביא 15,31.910638,35.0093823,מגורים,1199.5,D2521,3,valid,12000214,214,
702553905,אלישע הנביא 11,31.9106961,35.0076201,מגורים,1159.75,D2523,3,valid,12000214,214,
702553909,חשון 4,31.9127515,35.0142634,מגורים,1197.25,D1061,3,valid,12000211,211,
702553911,תכלת 77,31.9021165,34.9936818,מגורים,1515.75,D3152,5,valid,12000225,225,
702553913,חטיבת גבעתי 42,31.9114403,35.0009686,מגורים,1254.5,D2033,4,valid,12000221,221,
702553915,חשון 6,31.9130183,35.0140244,מגורים,1345,D1095,3,valid,12000211,211,
702553921,תכלת 75,31.9009154,34.9963906,מגורים,1478.25,D3352,5,valid,12000225,225,
702553922,חטיבת גבעתי 34,31.9130161,34.9996067,מגורים,1284.5,D2308,4,valid,12000221,221,
702553925,חטיבת גבעתי 44,31.9132024,34.9997344,מגורים,1254.5,D2033,4,valid,12000221,221,
702553926,תכלת 41,31.9006554,34.9988388,מגורים,2049,D33551,8,valid,12000225,225,
702553927,חשון 8,31.9133048,35.0139027,מגורים,1617.75,D1093,3,NA,12000211,211,
702553939,תכלת 39,31.9032209,34.9929285,מגורים,2049,D33551,8,valid,12000225,225,
702553940,חטיבת גבעתי 23,31.912042,35.000464,מגורים,970.5,D2287,3,valid,12000221,221,
702553948,חשון 16,31.9147555,35.0110009,מגורים,1115.75,D1206,3,valid,12000211,211,
702553952,חטיבת גבעתי 3,31.9097359,35.0030764,מגורים,1021.25,D2274,4,valid,12000221,221,
702553957,חשון 14,31.9147555,35.0110009,מגורים,1579.75,D1112,3,valid,12000211,211,
702553959,חשון 24,31.9153002,35.0123954,מגורים,1103.5,D1161,3,valid,12000211,211,
702553966,חטיבת גבעתי 1,31.9094188,35.0034643,מגורים,1174.5,D2275,4,valid,12000221,221,
702553969,חשון 22,31.9149351,35.0130496,מגורים,990.5,D1162,3,valid,12000211,211,
702553970,חטיבת גבעתי 24,31.9130291,34.9998454,מגורים,2263.25,D2526,3,valid,12000221,221,
702553974,חשון 20,31.9125324,35.0144585,מגורים,857.25,D1164,3,valid,12000211,211,
702553978,חטיבת גבעתי 22,31.911339,35.001174,מגורים,1860.5,D2310,3,valid,12000221,221,
702553982,חשון 18,31.9147555,35.0110009,מגורים,892.5,D1163,3,valid,12000211,211,
702553986,חטיבת גבעתי 28,31.9132024,34.9997344,מגורים,1916,D2280,3,valid,12000221,221,
702553989,חשון 23,31.9153002,35.0123954,מגורים,1720.5,D1371,3,valid,12000211,211,
702553993,חטיבת גבעתי 26,31.9132024,34.9997344,מגורים,1916,D2280,3,valid,12000221,221,
702553996,חשון 25,31.9153002,35.0123954,מגורים,1754,D1358,3,valid,12000211,211,
702553997,חטיבת גבעתי 32,31.9117529,35.0002999,מגורים,1871,D2322,3,valid,12000221,221,
702554000,חשון 26,31.9153002,35.0123954,מגורים,1128.25,D1220,3,valid,12000211,211,
702554002,חטיבת גבעתי 30,31.9096929,35.0033092,מגורים,1871,D2322,3,valid,12000221,221,
702554007,חשון 28,31.9153002,35.0123954,מגורים,1555,D1221,3,valid,12000211,211,
702554214,אלישע הנביא 13,31.910638,35.0093823,מגורים,1209.5,D2522,3,valid,12000214,214,
702554227,נהר הירדן 32,31.895728,35.0103285,מגורים,2571.75,D4655,2,valid,12000113,113,
702554241,נהר הירדן 34,31.8969286,35.0079449,מגורים,2440.25,D4657,2,valid,12000113,113,
702554248,נהר הירדן 36,31.896402,35.007059,מגורים,2149,D4659,2,valid,12000113,113,
702554259,נחל הירקון 17,31.8974402,35.0207881,מגורים,921.25,D4823,3,valid,12000111,111,
702554266,נחל הירקון 2,31.898268,35.0209975,מגורים,785.25,D4804,3,valid,12000111,111,
702554270,כיכר מלאכי הנביא 20,31.9107383,35.006895,מגורים,1182,D2519,4,valid,12000214,214,
702554271,נחל הירקון 8,31.898283,35.0201646,מגורים,654,D4689,3,valid,12000111,111,
702554274,כיכר מלאכי הנביא 2,31.9107383,35.006895,מגורים,1112.5,D2511,3,valid,12000214,214,
702554281,נחל הירקון 6,31.898252,35.0204143,מגורים,654,D4689,3,valid,12000111,111,
702554282,כיכר מלאכי הנביא 4,31.9109938,35.0069199,מגורים,1096,D2512,3,valid,12000214,214,
702554288,כיכר מלאכי הנביא 14,31.9105414,35.0069492,מגורים,1221.25,D2513,4,valid,12000214,214,
702554289,נחל הירקון 4,31.8983035,35.0205949,מגורים,671.5,D4830,3,valid,12000111,111,
702554294,נחל הירקון 26,31.8972117,35.020867,מגורים,1314.25,D4825,4,valid,12000111,111,
702554296,כיכר מלאכי הנביא 6,31.9110715,35.0066616,מגורים,1060.75,D2515,3,valid,12000214,214,
702554302,נחל הירקון 18,31.8974402,35.0207881,מגורים,1289.75,D4827,4,valid,12000111,111,
702554303,כיכר מלאכי הנביא 8,31.9112281,35.0065064,מגורים,1063,D2514,3,valid,12000214,214,
702554307,כיכר מלאכי הנביא 16,31.9105414,35.0069492,מגורים,1071.75,D2516,4,valid,12000214,214,
702554310,חטיבת גבעתי 17,31.9130161,34.9996067,מגורים,2263.25,D2526,3,valid,12000221,221,
702554317,חטיבת גבעתי 19,31.9130161,34.9996067,מגורים,2263.25,D2526,3,valid,12000221,221,
702554322,חשון 3,31.9126436,35.0142493,מגורים,1725.75,D1225,3,valid,12000211,211,
