building_number,address_new,lat,lng,DWellTypeC,flr_area,HOUSE_ID2,DWellKomot,status,YISHUV_STA,STAT_2022,geometry
702552276,חרצית 32,31.9058681,35.0109337,מגורים,12027.25,D4041,16,NA,12000123,123,"list(c(201160.2188, 201169.8594, 201172.8658, 201175.8018, 201178.6639, 201181.4487, 201184.1531, 201186.7737, 201189.3077, 201191.752, 201194.1038, 201196.3603, 201198.5188, 201200.577, 201202.5323, 201204.3824, 201206.1253, 201207.7589, 201209.2813, 201191.0156, 201189.8149, 201188.5292, 201187.1601, 201185.7089, 201184.1773, 201182.567, 201180.8797, 201179.1172, 201177.2816, 201175.3748, 201173.3989, 201171.3561, 201169.2485, 201167.0786, 201164.8487, 201162.5613, 201160.2188, 645997.843800001, 
646015.4375, 646013.4267, 646011.3144, 646009.103, 646006.7951, 646004.393300001, 646001.900599999, 645999.319700001, 645996.6537, 645993.9058, 645991.0791, 645988.176999999, 645985.2028, 645982.16, 645979.052100001, 645975.8829, 645972.6559, 645969.375, 645961.25, 645963.8356, 645966.380000001, 645968.8804, 645971.3342, 645973.738600001, 645976.091, 645978.388800001, 645980.6295, 645982.8106, 645984.9298, 645986.9847, 645988.973099999, 645990.8928, 645992.741699999, 645994.5178, 645996.2191, 645997.843800001
))"
702552288,חרצית 32,31.9058681,35.0109337,מגורים,12027.25,D4041,16,valid,12000123,123,"list(c(201160.2188, 201169.8594, 201172.8658, 201175.8018, 201178.6639, 201181.4487, 201184.1531, 201186.7737, 201189.3077, 201191.752, 201194.1038, 201196.3603, 201198.5188, 201200.577, 201202.5323, 201204.3824, 201206.1253, 201207.7589, 201209.2813, 201191.0156, 201189.8149, 201188.5292, 201187.1601, 201185.7089, 201184.1773, 201182.567, 201180.8797, 201179.1172, 201177.2816, 201175.3748, 201173.3989, 201171.3561, 201169.2485, 201167.0786, 201164.8487, 201162.5613, 201160.2188, 645997.843800001, 
646015.4375, 646013.4267, 646011.3144, 646009.103, 646006.7951, 646004.393300001, 646001.900599999, 645999.319700001, 645996.6537, 645993.9058, 645991.0791, 645988.176999999, 645985.2028, 645982.16, 645979.052100001, 645975.8829, 645972.6559, 645969.375, 645961.25, 645963.8356, 645966.380000001, 645968.8804, 645971.3342, 645973.738600001, 645976.091, 645978.388800001, 645980.6295, 645982.8106, 645984.9298, 645986.9847, 645988.973099999, 645990.8928, 645992.741699999, 645994.5178, 645996.2191, 645997.843800001
))"
702552305,חרצית 34,31.9083442,35.0105213,מגורים,12027.25,D4041,16,valid,12000123,123,"list(c(201160.2188, 201169.8594, 201172.8658, 201175.8018, 201178.6639, 201181.4487, 201184.1531, 201186.7737, 201189.3077, 201191.752, 201194.1038, 201196.3603, 201198.5188, 201200.577, 201202.5323, 201204.3824, 201206.1253, 201207.7589, 201209.2813, 201191.0156, 201189.8149, 201188.5292, 201187.1601, 201185.7089, 201184.1773, 201182.567, 201180.8797, 201179.1172, 201177.2816, 201175.3748, 201173.3989, 201171.3561, 201169.2485, 201167.0786, 201164.8487, 201162.5613, 201160.2188, 645997.843800001, 
646015.4375, 646013.4267, 646011.3144, 646009.103, 646006.7951, 646004.393300001, 646001.900599999, 645999.319700001, 645996.6537, 645993.9058, 645991.0791, 645988.176999999, 645985.2028, 645982.16, 645979.052100001, 645975.8829, 645972.6559, 645969.375, 645961.25, 645963.8356, 645966.380000001, 645968.8804, 645971.3342, 645973.738600001, 645976.091, 645978.388800001, 645980.6295, 645982.8106, 645984.9298, 645986.9847, 645988.973099999, 645990.8928, 645992.741699999, 645994.5178, 645996.2191, 645997.843800001
))"
702552351,נהר הירדן 70,31.8946531,35.0117472,מגורים,1103.75,D4116,4,valid,12000113,113,"list(c(200548.4219, 200539.3906, 200538.5469, 200535.5, 200534.6094, 200533.4219, 200531.8438, 200533.0313, 200531.3906, 200536.7969, 200535.7813, 200539.7344, 200541.625, 200543.7188, 200541.8281, 200545.7813, 200546.7813, 200552.1875, 200553.8125, 200555, 200556.5781, 200555.3906, 200556.2969, 200553.25, 200554.0938, 200548.4219, 644764.7031, 644760.531300001, 644762.343800001, 644760.9531, 644762.8906, 644762.3594, 644765.75, 644766.2969, 644769.843800001, 644772.343800001, 644774.5156, 644776.343800001, 
644772.25, 644773.218800001, 644777.3125, 644779.125, 644776.9531, 644779.4531, 644775.906300001, 644776.4531, 644773.0469, 644772.5, 644770.5469, 644769.156300001, 644767.3281, 644764.7031))"
702552359,נהר הירדן 72,31.8962329,35.0097805,מגורים,949.75,D4121,4,valid,12000113,113,"list(c(200519.8281, 200510.7969, 200509.9531, 200506.9063, 200506.0156, 200504.8281, 200503.25, 200504.4375, 200502.7969, 200508.2031, 200507.1875, 200511.1406, 200513.0313, 200515.125, 200513.2344, 200517.1719, 200518.1875, 200523.5938, 200525.2188, 200526.4063, 200527.9688, 200526.7969, 200527.7031, 200524.6563, 200525.5, 200519.8281, 644751.5, 644747.3281, 644749.1406, 644747.7344, 644749.6875, 644749.1406, 644752.5469, 644753.093800001, 644756.625, 644759.125, 644761.2969, 644763.125, 644759.0469, 
644760.0156, 644764.093800001, 644765.9219, 644763.7344, 644766.2344, 644762.6875, 644763.2344, 644759.8281, 644759.2969, 644757.343800001, 644755.9375, 644754.125, 644751.5))"
702552363,נהר הירדן 74,31.8968326,35.0077922,מגורים,841.5,D4143,4,valid,12000113,113,"list(c(200475.1563, 200466.125, 200465.2813, 200462.2344, 200461.3438, 200460.1563, 200458.5938, 200459.7656, 200458.125, 200463.5313, 200462.5313, 200466.4688, 200468.3594, 200470.4531, 200468.5625, 200472.5156, 200473.5156, 200478.9219, 200480.5625, 200481.7344, 200483.3125, 200482.125, 200483.0313, 200479.9844, 200480.8281, 200475.1563, 644730.875, 644726.7031, 644728.5156, 644727.1094, 644729.0625, 644728.5156, 644731.9219, 644732.468800001, 644736, 644738.5, 644740.6719, 644742.5, 644738.4219, 
644739.3906, 644743.468800001, 644745.2969, 644743.1094, 644745.6094, 644742.0625, 644742.6094, 644739.2031, 644738.6719, 644736.718800001, 644735.3125, 644733.5, 644730.875))"
702552373,נהר הירדן 76,31.8964272,35.0068016,מגורים,913.5,D4161,4,valid,12000113,113,"list(c(200433.9375, 200437.875, 200439.7656, 200441.8594, 200439.9688, 200443.9219, 200444.9219, 200450.3281, 200451.9531, 200453.1406, 200454.7188, 200453.5313, 200454.4375, 200451.3906, 200452.2344, 200443.1563, 200437.5313, 200436.6875, 200433.6406, 200432.75, 200431.5625, 200429.9844, 200431.1719, 200429.5313, 200434.9375, 200433.9375, 644727.468800001, 644729.2969, 644725.2031, 644726.1719, 644730.25, 644732.0781, 644729.906300001, 644732.3906, 644728.8594, 644729.406300001, 644726, 644725.4531, 
644723.5, 644722.093800001, 644720.281300001, 644716.0781, 644713.4844, 644715.2969, 644713.8906, 644715.843800001, 644715.2969, 644718.7031, 644719.25, 644722.7969, 644725.281300001, 644727.468800001))"
702552406,נהר הירדן 11,31.894767,35.0112776,מגורים,1032.25,D4763,4,valid,12000112,112,"list(c(201176.7482, 201189.0334, 201187.4709, 201190.6642, 201186.5138, 201181.1232, 201179.883, 201170.0978, 201171.338, 201165.9572, 201170.1076, 201173.2912, 201174.9025, 201176.7482, 644668.6713, 644661.6401, 644658.847100001, 644657.0307, 644649.7651, 644652.851, 644650.6635, 644656.268999999, 644658.437000001, 644661.5229, 644668.768999999, 644666.9526, 644669.726, 644668.6713))"
702552410,חרצית 28,31.9083416,35.0108958,מגורים,2721.5,D4053,16,valid,12000123,123,"list(c(201204.0449, 201205.9207, 201205.602, 201208.4058, 201207.8838, 201210.753, 201209.9257, 201208.7952, 201208.1751, 201209.8177, 201208.5285, 201202.9984, 201203.1289, 201195.197, 201196.2112, 201197.3622, 201198.4434, 201199.0068, 201197.9898, 201198.3353, 201198.5301, 201198.5739, 201200.3082, 201200.2157, 201198.6156, 201198.5566, 201199.6663, 201199.629, 201206.0047, 201206.0175, 201208.8574, 201208.8497, 201212.1066, 201212.0894, 201217.7647, 201217.7783, 201218.4116, 201218.4269, 201215.197, 
201215.2071, 201221.6317, 201221.6833, 201219.8336, 201219.8787, 201215.6812, 201215.6976, 201212.144, 201212.1017, 201211.2224, 201211.2383, 201209.7547, 201209.7619, 201208.071, 201208.1214, 201204.1112, 201204.0449, 645917.8574, 645917.732799999, 645912.9334, 645912.747099999, 645908.6779, 645908.4285, 645904.8631, 645905.125399999, 645902.453199999, 645902.0605, 645897.145500001, 645898.489499999, 645899.1076, 645901.055299999, 645905.0943, 645904.805299999, 645909.111400001, 645913.1796, 645913.2754, 
645917.5518, 645921.8378, 645926.127900001, 645926.181600001, 645934.0888, 645934.078199999, 645939.525, 645939.537, 645942.971999999, 645943.020099999, 645941.318700001, 645941.3402, 645942.360099999, 645942.406099999, 645944.0747, 645944.1548, 645940.640799999, 645940.643300001, 645936.7097, 645936.6971, 645934.095100001, 645934.163799999, 645931.190199999, 645931.1581, 645925.8443, 645925.775900001, 645923.932, 645923.909399999, 645928.5569, 645928.5219, 645928.122199999, 645928.063300001, 645925.727700001, 
645925.713500001, 645919.1653, 645919.3441, 645917.8574))"
702552416,חרצית 30,31.903833,35.01261,מגורים,2721.5,D4053,16,valid,12000123,123,"list(c(201204.0449, 201205.9207, 201205.602, 201208.4058, 201207.8838, 201210.753, 201209.9257, 201208.7952, 201208.1751, 201209.8177, 201208.5285, 201202.9984, 201203.1289, 201195.197, 201196.2112, 201197.3622, 201198.4434, 201199.0068, 201197.9898, 201198.3353, 201198.5301, 201198.5739, 201200.3082, 201200.2157, 201198.6156, 201198.5566, 201199.6663, 201199.629, 201206.0047, 201206.0175, 201208.8574, 201208.8497, 201212.1066, 201212.0894, 201217.7647, 201217.7783, 201218.4116, 201218.4269, 201215.197, 
201215.2071, 201221.6317, 201221.6833, 201219.8336, 201219.8787, 201215.6812, 201215.6976, 201212.144, 201212.1017, 201211.2224, 201211.2383, 201209.7547, 201209.7619, 201208.071, 201208.1214, 201204.1112, 201204.0449, 645917.8574, 645917.732799999, 645912.9334, 645912.747099999, 645908.6779, 645908.4285, 645904.8631, 645905.125399999, 645902.453199999, 645902.0605, 645897.145500001, 645898.489499999, 645899.1076, 645901.055299999, 645905.0943, 645904.805299999, 645909.111400001, 645913.1796, 645913.2754, 
645917.5518, 645921.8378, 645926.127900001, 645926.181600001, 645934.0888, 645934.078199999, 645939.525, 645939.537, 645942.971999999, 645943.020099999, 645941.318700001, 645941.3402, 645942.360099999, 645942.406099999, 645944.0747, 645944.1548, 645940.640799999, 645940.643300001, 645936.7097, 645936.6971, 645934.095100001, 645934.163799999, 645931.190199999, 645931.1581, 645925.8443, 645925.775900001, 645923.932, 645923.909399999, 645928.5569, 645928.5219, 645928.122199999, 645928.063300001, 645925.727700001, 
645925.713500001, 645919.1653, 645919.3441, 645917.8574))"
702552429,גינת דותן 66,31.8982822,35.0131879,מסחר,1182.75,D10183,2,over_avg,12000115,115,"list(c(201426.6527, 201431.6004, 201414.2086, 201409.5608, 201415.8578, 201415.7079, 201426.6527, 645264.3903, 645235.7711, 645233.073999999, 645260.944, 645261.6932, 645262.7421, 645264.3903))"
702552447,סתוונית 7,31.9044075,35.0133954,מגורים,1230,D4749,4,valid,12000123,123,"list(c(201388.9028, 201382.7006, 201381.0138, 201376.4655, 201392.2088, 201396.7571, 201395.0703, 201401.2725, 201396.437, 201391.5828, 201388.8839, 201393.7382, 201388.9028, 645723.2095, 645727.4265, 645724.945599999, 645728.038000001, 645751.1929, 645748.100500001, 645745.6196, 645741.4026, 645734.2908, 645737.5912, 645733.6218, 645730.3214, 645723.2095))"
702552455,סתוונית 5,31.9047015,35.0135591,מגורים,1157.25,D4750,4,valid,12000123,123,"list(c(201410.2283, 201404.0261, 201402.3393, 201397.791, 201413.5343, 201418.0826, 201416.3958, 201422.598, 201417.7626, 201412.9083, 201410.2095, 201415.0637, 201410.2283, 645754.744999999, 645758.9619, 645756.481000001, 645759.5735, 645782.728399999, 645779.6359, 645777.155099999, 645772.938100001, 645765.826199999, 645769.126700001, 645765.157299999, 645761.856799999, 645754.744999999))"
702552463,סתוונית 3,31.9049636,35.0136972,מגורים,1223.25,D4751,4,valid,12000123,123,"list(c(201431.5912, 201425.389, 201423.7023, 201419.154, 201434.8973, 201439.4455, 201437.7588, 201443.961, 201439.1607, 201434.2713, 201431.5724, 201436.4267, 201431.5912, 645786.1689, 645790.3858, 645787.904999999, 645790.997400001, 645814.1523, 645811.059900001, 645808.579, 645804.362, 645797.301899999, 645800.5506, 645796.5812, 645793.2808, 645786.1689))"
